formula	Qf	Ax	Bx	Cx	Dx	Acn	Bcn	Ccn	Dcn	Air	Bir	Cir	Dir	Aap	Bap	Cap	Dap	Aen	Ben	Cen	Den	Amac	Bmac	Cmac	Dmac	Aaw	Baw	Caw	Daw	Aym	Bym	Cym	Dym	Ame	Bme	Cme	Dme	eps
Ba8Ga0.8Ta5.92O24	29000	0.21	0.02	0.15	0.62	12	6	6	2	1.24	4.84	7.81	1.35	11.07	4.47	2.47	0.54	2.4	3.2	4.11	7.54	461	212	444	36.6	137.327	69.723	180.948	15.999	12.8	9.8	185.7	0	7.8	5.59	24.7	0.444	29
Mg0.9Ba0.1TiO3	32666	0.18	0.02	0.2	0.6	12	12	6	2	0.89	0.35	0.605	1.35	3.18	11.07	4.49	0.54	8.3	2.4	3.45	7.54	121	461	571	36.6	24.305	137.327	47.88	15.999	44.7	12.8	120.2	0	8.9	7.8	18.8	0.444	32.67
(La0.5Na0.5)TiO3	9800	0.1	0.1	0.2	0.6	12	12	6	2	1.16	1.34	0.605	1.35	11.8	8.68	4.49	0.54	2.85	3.1	3.45	7.54	95.3	202	571	36.6	22.99	138.906	47.88	15.999	6.8	37.9	120.2	0	2.64	10	18.8	0.444	122
Eu(W0.5Ti1.5)O6	30500	0.11	0.06	0.17	0.67	6	6	6	2	1.206	0.74	6.61	1.35	8.38	2.4	4.49	0.54	3.1	4.4	3.45	7.54	299	458	571	36.6	151.965	183.85	47.88	15.999	18.2	411	120.2	0	10.5	35	18.8	0.444	38.6
ZnMnW2O8	10670	0.08	0.08	0.17	0.67	6	6	6	2	0.74	0.67	0.6	1.35	2.24	3.48	2.4	0.54	4.45	3.72	4.4	7.54	189	93	458	36.6	65.39	54.938	183.85	15.999	104.5	191	411	0	7.28	13.4	35	0.444	13.7
Ba0.98(Zn0.5W0.5)O2.98	31000	0.2	0.1	0.1	0.6	12	6	6	2	1.24	0.88	14.29	1.35	11.07	2.24	2.4	0.54	2.4	4.45	4.4	7.54	461	189	458	36.6	137.327	65.39	183.85	15.999	12.8	104.5	411	0	7.8	7.28	35	0.444	24
Ba(Nd0.5Ta0.5)O3	18000	0.2	0.1	0.1	0.6	12	6	6	2	1.24	1.123	7.81	1.35	11.07	9.38	2.47	0.54	2.4	3	4.11	7.54	461	252	444	36.6	137.327	144.24	180.948	15.999	12.8	41.4	185.7	0	7.8	7.1	24.7	0.444	36
BiNb0.95Sb0.05O4	14300	0.17	0.16	0.01	0.67	6	6	6	2	1.17	10.42	8.33	1.35	4.04	4.45	2.37	0.54	4.69	4	4.85	7.54	596	441	288	36.6	208.98	92.906	121.75	15.999	34	104.9	54.7	0	10.9	26.8	39.7	0.444	44.5
Ca(La0.5Ta0.5)O3	30000	0.2	0.1	0.1	0.6	12	6	6	2	1.4	1.172	7.81	1.35	6.22	8.68	2.47	0.54	2.2	3.1	4.11	7.54	468	202	444	36.6	40.078	138.906	180.948	15.999	19.6	37.9	185.7	0	8.6	10	24.7	0.444	19.5
La5AlTi3O15	28600	0.21	0.04	0.12	0.62	12	6	6	2	1.36	0.535	0.605	1.35	8.68	5.23	4.49	0.54	3.1	3.23	3.45	7.54	202	152	571	36.6	138.906	26.982	47.88	15.999	37.9	70.6	120.2	0	10	10.5	18.8	0.444	28.1
SmZrTaO6	24190	0.11	0.11	0.11	0.67	12	6	6	2	1.32	0.86	7.81	1.35	8.62	4.63	2.47	0.54	3.1	3.64	4.11	7.54	284	419	444	36.6	150.36	91.224	180.948	15.999	49.7	98	185.7	0	10.9	19.2	24.7	0.444	21.2
Zr0.034Hf0.966TiO4	34000	0.01	0.16	0.17	0.67	12	6	6	2	0.89	5.63	6.61	1.35	4.63	3.19	4.49	0.54	3.64	3.8	3.45	7.54	419	430	571	36.6	91.224	178.49	47.88	15.999	98	141	120.2	0	19.2	25	18.8	0.444	34.1
LiBiW2O8	16400	0.08	0.08	0.17	0.67	8	6	6	2	1.06	2.91	14.29	1.35	9.1	4.04	2.4	0.54	3.01	4.69	4.4	7.54	1.96	596	458	36.6	6.941	208.98	183.85	15.999	4.9	34	411	0	2.93	10.9	35	0.444	26.5
Mg2Al4Si5O18	40000	0.07	0.14	0.17	0.62	6	4	4	2	0.72	0.39	0.4	1.35	3.18	5.23	2.19	0.54	8.3	3.23	4.77	7.54	121	152	189	36.6	24.305	26.982	28.086	15.999	44.7	70.6	113	0	8.9	10.5	50.6	0.444	6.2
Zn2(Sn0.99Zr0.01)O4	87000	0.29	0.14	0	0.57	6	6	6	2	0.74	0.69	0.72	1.35	2.24	3.02	4.63	0.54	4.45	4.3	3.64	7.54	189	662	419	36.6	65.39	118.71	91.224	15.999	104.5	49.9	98	0	7.28	7.07	19.2	0.444	9.6
(Zn0.7Mg0.3)TiO3	65000	0.14	0.06	0.2	0.6	6	6	6	2	0.74	0.72	0.605	1.35	2.24	3.18	4.49	0.54	4.45	8.3	3.45	7.54	189	121	571	36.6	65.39	24.305	47.88	15.999	104.5	44.7	120.2	0	7.28	8.9	18.8	0.444	22
Sr1.95Ca0.05TiO4	112650	0.279	0.0007	0.143	0.571	8	8	6	2	1.26	1.12	0.605	1.35	7.6	6.22	4.49	0.54	2	2.2	3.45	7.54	373	468	571	36.6	87.62	40.078	47.88	15.999	15.7	19.6	120.2	0	8.2	8.6	18.8	0.444	39.7
Sr1.9Ca0.1TiO4	114880	0.271	0.0014	0.143	0.571	8	8	6	2	1.26	1.12	0.605	1.35	7.6	6.22	4.49	0.54	2	2.2	3.45	7.54	373	468	571	36.6	87.62	40.078	47.88	15.999	15.7	19.6	120.2	0	8.2	8.6	18.8	0.444	39.5
Sr1.85Ca0.15TiO4	93550	0.264	0.0021	0.143	0.571	8	8	6	2	1.26	1.12	0.605	1.35	7.6	6.22	4.49	0.54	2	2.2	3.45	7.54	373	468	571	36.6	87.62	40.078	47.88	15.999	15.7	19.6	120.2	0	8.2	8.6	18.8	0.444	39.3
Sr1.8Ca0.2TiO4	81820	0.257	0.0028	0.143	0.571	8	8	6	2	1.26	1.12	0.605	1.35	7.6	6.22	4.49	0.54	2	2.2	3.45	7.54	373	468	571	36.6	87.62	40.078	47.88	15.999	15.7	19.6	120.2	0	8.2	8.6	18.8	0.444	39.9
Sr1.7Ca0.3TiO4	72000	0.251	0.0034	0.143	0.571	8	8	6	2	1.26	1.12	0.605	1.35	7.6	6.22	4.49	0.54	2	2.2	3.45	7.54	373	468	571	36.6	87.62	40.078	47.88	15.999	15.7	19.6	120.2	0	8.2	8.6	18.8	0.444	41.3
Sr0.6Ca2.4Ti2O7	2632	0.05	0.2	0.167	0.583	9	8	6	2	1.31	1.12	0.605	1.35	7.6	6.22	4.49	0.54	2	2.2	3.45	7.54	373	468	571	36.6	87.62	40.078	47.88	15.999	15.7	19.6	120.2	0	8.2	8.6	18.8	0.444	60
Sr0.3Ca2.7Ti2O7	3016	0.025	0.225	0.167	0.583	9	8	6	2	1.31	1.12	0.605	1.35	7.6	6.22	4.49	0.54	2	2.2	3.45	7.54	373	468	571	36.6	87.62	40.078	47.88	15.999	15.7	19.6	120.2	0	8.2	8.6	18.8	0.444	56
Sr2.4Ca0.6Ti2O7	25727	0.2	0.05	0.167	0.583	9	8	6	2	1.31	1.12	0.605	1.35	7.6	6.22	4.49	0.54	2	2.2	3.45	7.54	373	468	571	36.6	87.62	40.078	47.88	15.999	15.7	19.6	120.2	0	8.2	8.6	18.8	0.444	58
