formula	Qf	Ax	Bx	Cx	Dx	Acn	Bcn	Ccn	Dcn	Air	Bir	Cir	Dir	Aap	Bap	Cap	Dap	Aen	Ben	Cen	Den	Amac	Bmac	Cmac	Dmac	Aaw	Baw	Caw	Daw	Aym	Bym	Cym	Dym	Ame	Bme	Cme	Dme	eps
SmTiTaO6	24500	0.11	0.11	0.11	0.67	6	6	6	2	0.958	0.605	0.64	1.35	8.62	4.49	2.47	0.54	3.1	3.45	4.11	7.54	284	571	444	36.6	150.36	47.88	180.948	15.999	49.7	120.2	185.7	0	10.9	18.8	24.7	0.444	41.8
Nd(Mg0.5Ti0.5)O3	36900	0.2	0.1	0.1	0.6	12	6	6	2	1.29	0.86	6.61	1.35	9.38	3.18	4.49	0.54	3	8.3	3.45	7.54	252	121	571	36.6	144.24	24.305	47.88	15.999	41.4	44.7	120.2	0	7.1	8.9	18.8	0.444	23
Ba10Mg0.25Ta7.9O30	33500	0.21	0.01	0.16	0.62	12	6	6	2	1.61	0.72	0.64	1.35	11.07	3.18	2.47	0.54	2.4	8.3	4.11	7.54	461	121	444	36.6	137.327	24.305	180.948	15.999	12.8	44.7	185.7	0	7.8	8.9	24.7	0.444	28.2
Pb0.7Ca0.3ZrO3	1800	0.14	0.06	0.2	0.6	12	12	6	2	1.49	1	0.72	1.35	4.16	6.22	4.63	0.54	3.9	2.2	3.64	7.54	579	468	419	36.6	207.2	40.078	91.224	15.999	16.1	19.6	98	0	4.81	8.6	19.2	0.444	132
Mg0.2Zn0.8Al2O4	98000	0.03	0.11	0.29	0.57	4	4	6	2	0.57	0.6	0.535	1.35	3.18	2.24	5.23	0.54	8.3	4.45	3.23	7.54	121	189	152	36.6	24.305	65.39	26.982	15.999	44.7	104.5	70.6	0	8.9	7.28	10.5	0.444	8.4
CoLi0.67Ti1.33O4	35000	0.14	0.1	0.19	0.57	6	6	6	2	0.885	0.9	6.61	1.35	3.01	9.1	4.49	0.54	4.3	3.01	3.45	7.54	125	1.96	571	36.6	58.933	6.941	47.88	15.999	211	4.9	120.2	0	16.3	2.93	18.8	0.444	21.4
Ca(Yb0.5Ta0.5)O3	24000	0.2	0.1	0.1	0.6	12	6	6	2	1.4	1.008	7.81	1.35	6.22	7.26	2.47	0.54	2.2	3.5	4.11	7.54	468	401	444	36.6	40.078	173.04	180.948	15.999	19.6	23.9	185.7	0	8.6	9.2	24.7	0.444	21.2
MgLi0.67Ti1.33O4	62300	0.14	0.1	0.19	0.57	12	6	6	2	1.1	0.9	6.61	1.35	3.18	9.1	4.49	0.54	8.3	3.01	3.45	7.54	121	1.96	571	36.6	24.305	6.941	47.88	15.999	44.7	4.9	120.2	0	8.9	2.93	18.8	0.444	20.2
SrEr4Si3O13	18100	0.05	0.19	0.14	0.62	9	8	4	2	0.131	1.004	0.26	1.35	7.6	7.46	2.19	0.54	2	3.3	4.77	7.54	373	373	189	36.6	87.62	167.26	28.086	15.999	15.7	69.9	113	0	8.2	17.2	50.6	0.444	10.4
Ca(Dy0.5Ta0.5)O3	26500	0.2	0.1	0.1	0.6	12	6	6	2	1.4	1.87	7.81	1.35	6.22	7.74	2.47	0.54	2.2	3.2	4.11	7.54	468	344	444	36.6	40.078	162.5	180.948	15.999	19.6	61.4	185.7	0	8.6	17.2	24.7	0.444	30
