formula	tf	Ax	Bx	Cx	Dx	Acn	Bcn	Ccn	Dcn	Av	Bv	Cv	Dv	Air	Bir	Cir	Dir	Aav	Bav	Cav	Dav	Aced	Bced	Cced	Dced	Acp	Bcp	Ccp	Dcp eps
CoLi0.67Ti1.33O4	-22	0.14	0.1	0.19	0.57	6	6	6	2	2	1	4	-2	0.885	0.9	6.61	1.35	1.108	2.162	1.764	1.736	0.71	1.75	0.91	0.85	5.1	2.85	3.8	0	21.4
Ca(Ca0.33Nb0.67)O3	-22	0.2	0.07	0.13	0.6	12	6	6	2	2	2	5	-2	1.4	2	10.42	1.35	4.633	4.633	1.807	1.736	1.25	1.25	0.95	0.85	2.55	2.55	4.05	0	28
Nd(Ti0.5W0.5)O4	-22	0.17	0.08	0.08	0.67	12	6	6	2	3	4	6	-2	1.29	0.745	14.29	1.35	3.418	1.764	1.586	1.736	1.17	0.91	0.92	0.85	3.19	3.8	4.8	0	21.3
SrSmAlO4	-22	0.14	0.14	0.14	0.57	9	9	6	2	2	3	3	-2	1.31	1.132	0.535	1.35	5.632	3.318	1.66	1.736	1.39	1.11	1.25	0.85	2.4	3.2	4.2	0	15.5
Eu2BaZnO5	-22	0.22	0.11	0.11	0.56	9	7	5	2	3	2	2	-2	1.13	1.38	0.68	1.35	4.813	6.299	1.521	1.736	1.1	1.44	1.25	0.85	3.2	2.32	4.1	0	18.1
Dy2BaZnO5	-23	0.22	0.11	0.11	0.56	9	7	5	2	3	2	2	-2	1.083	1.38	0.68	1.35	3.152	6.299	1.521	1.736	1.07	1.44	1.25	0.85	3.21	2.32	4.1	0	17.1
Ca(Sm0.5Ta0.5)O3	-24	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.4	1.098	7.81	1.35	4.633	3.318	1.801	1.736	1.25	1.11	0.95	0.85	2.55	3.2	4.05	0	19.6
SrEu4Si3O13	-24	0.05	0.19	0.14	0.62	9	8	4	2	2	3	4	-2	0.131	1.066	0.26	1.35	5.632	4.813	2.002	1.736	1.39	1.1	1.18	0.85	2.4	3.2	4.7	0	14.8
SrEr4Si3O13	-24	0.05	0.19	0.14	0.62	9	8	4	2	2	3	4	-2	0.131	1.004	0.26	1.35	5.632	3.064	2.002	1.736	1.39	1.02	1.18	0.85	2.4	3.22	4.7	0	10.4
Ba2Sr3Ta4O15	-25	0.08	0.12	0.17	0.62	12	12	6	2	2	2	5	-2	1.61	1.44	0.64	1.35	6.299	5.632	1.801	1.736	1.44	1.39	0.95	0.85	2.32	2.4	4.05	0	35.2
CaLa4Ti5O15	-25	0.04	0.16	0.2	0.6	12	12	6	2	2	3	4	-2	1.34	1.032	0.605	1.35	4.633	3.741	1.764	1.736	1.25	1.34	0.91	0.85	2.55	3.17	3.8	0	41.1
SrYb4Si3O13	-25	0.05	0.19	0.14	0.62	9	8	4	2	2	3	4	-2	0.131	0.985	0.26	1.35	5.632	4.128	2.002	1.736	1.39	1	1.18	0.85	2.4	3.22	4.7	0	13.1
Li2MgSiO4	-25	0.25	0.12	0.12	0.5	4	4	4	2	1	2	4	-2	0.59	0.57	0.4	1.35	2.162	2.324	2.002	1.736	1.75	1.09	1.18	0.85	2.85	3.45	4.7	0	5.1
Nd2BaCuO5	-25	0.22	0.11	0.11	0.56	10	8	4	2	3	2	2	-2	1.163	1.42	0.73	1.35	3.418	6.299	1.181	1.736	1.17	1.44	1.12	0.85	3.19	2.32	4.45	0	17.6
SrLaAlO4	-25	0.14	0.14	0.14	0.57	9	9	6	2	2	3	3	-2	1.31	1.216	0.535	1.35	5.632	3.741	1.66	1.736	1.39	1.34	1.25	0.85	2.4	3.17	4.2	0	16.7
Ca(Gd0.5Nb0.5)O3	-26	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.4	3.2	10.42	1.35	4.633	3.31	1.807	1.736	1.25	1.09	0.95	0.85	2.55	3.2	4.05	0	25.5
LiMgPO4	-26	0.14	0.14	0.14	0.57	6	6	4	2	1	2	5	-2	0.76	0.72	0.38	1.35	2.162	2.324	1.899	1.736	1.75	1.09	1.09	0.85	2.85	3.45	5.55	0	6.6
Sm(Mg0.5Ti0.5)O3	-26	0.2	0.1	0.1	0.6	12	6	6	2	3	2	4	-2	1.32	0.86	6.61	1.35	3.318	2.324	1.764	1.736	1.11	1.09	0.91	0.85	3.2	3.45	3.8	0	25
Tm2BaCuO5	-26	0.22	0.11	0.11	0.56	11	7	5	2	3	2	2	-2	1.052	1.38	0.73	1.35	3.01	6.299	1.181	1.736	1.01	1.44	1.12	0.85	3.22	2.32	4.45	0	12.8
Sr(Al0.5Nb0.5)O3	-27	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.44	5.61	10.42	1.35	5.632	1.66	1.807	1.736	1.39	1.25	0.95	0.85	2.4	4.2	4.05	0	30.5
Sr3ZnNb2O9	-27	0.2	0.07	0.13	0.6	12	6	6	2	2	2	5	-2	1.44	0.88	10.42	1.35	5.632	1.521	1.807	1.736	1.39	1.25	0.95	0.85	2.4	4.1	4.05	0	20.7
Li2MgTiO4	-27	0.25	0.12	0.12	0.5	4	4	4	2	1	2	4	-2	0.59	0.57	0.42	1.35	2.162	2.324	1.764	1.736	1.75	1.09	0.91	0.85	2.85	3.45	3.8	0	17.3
Ho2BaZnO5	-27	0.22	0.11	0.11	0.56	9	7	5	2	3	2	2	-2	1.072	1.38	0.68	1.35	3.112	6.299	1.521	1.736	1.04	1.44	1.25	0.85	3.22	2.32	4.1	0	17.2
SrNdAlO4	-27	0.14	0.14	0.14	0.57	9	9	6	2	2	3	3	-2	1.31	1.303	0.535	1.35	5.632	3.418	1.66	1.736	1.39	1.17	1.25	0.85	2.4	3.19	4.2	0	15.9
MgLi0.67Ti1.33O4	-27	0.14	0.1	0.19	0.57	12	6	6	2	2	1	4	-2	1.1	0.9	6.61	1.35	2.324	2.162	1.764	1.736	1.09	1.75	0.91	0.85	3.45	2.85	3.8	0	20.2
Ca(Sm0.5Nb0.5)O3	-28	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.4	1.098	10.42	1.35	4.633	3.318	1.807	1.736	1.25	1.11	0.95	0.85	2.55	3.2	4.05	0	20.9
SrSm4Si3O13	-28	0.05	0.19	0.14	0.62	9	8	4	2	2	3	4	-2	0.131	1.079	0.26	1.35	5.632	3.318	2.002	1.736	1.39	1.11	1.18	0.85	2.4	3.2	4.7	0	13.5
Tm2BaZnO5	-28	0.22	0.11	0.11	0.56	9	7	5	2	3	2	2	-2	1.052	1.38	0.68	1.35	3.01	6.299	1.521	1.736	1.01	1.44	1.25	0.85	3.22	2.32	4.1	0	16.1
Zn0.5Mg0.5Nb2O6	-29	0.06	0.06	0.22	0.67	12	6	6	2	2	2	5	-2	0.9	0.86	10.42	1.35	1.521	2.324	1.807	1.736	1.25	1.09	0.95	0.85	4.1	3.45	4.05	0	22
Y2BaZnO5	-29	0.22	0.11	0.11	0.56	9	7	5	2	3	2	2	-2	1.075	1.38	0.68	1.35	3.318	6.299	1.521	1.736	1.22	1.44	1.25	0.85	3.2	2.32	4.1	0	15.4
Sr(La0.5Ta0.5)O3	-29	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.44	1.172	7.81	1.35	5.632	3.741	1.801	1.736	1.39	1.34	0.95	0.85	2.4	3.17	4.05	0	27.1
Bi2Te2W3O16	-29	0.09	0.09	0.13	0.7	9	6	6.5	2	3	4	6	-2	1.34	0.97	0.6	1.35	3.538	3.394	1.586	1.736	1.38	1.24	0.92	0.85	4.15	0	4.8	0	26.3
Ca(Eu0.5Nb0.5)O3	-30	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.4	3.17	10.42	1.35	4.633	4.813	1.807	1.736	1.25	1.1	0.95	0.85	2.55	3.2	4.05	0	25
Ca(Yb0.5Nb0.5)O3	-30	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.4	1.008	10.42	1.35	4.633	4.128	1.807	1.736	1.25	1	0.95	0.85	2.55	3.22	4.05	0	27
BiNb0.6Sb0.4O4	-31	0.17	0.1	0.07	0.67	6	6	6	2	3	5	5	-2	1.17	10.42	8.33	1.35	3.538	1.807	2.997	1.736	1.38	0.95	1.32	0.85	4.15	4.05	4.4	0	40.7
Ca(Pr0.5Ta0.5)O3	-31	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.4	1.13	7.81	1.35	4.633	3.456	1.801	1.736	1.25	1.2	0.95	0.85	2.55	3.19	4.05	0	24
Sm2BaCuO5	-32	0.22	0.11	0.11	0.56	11	7	5	2	3	2	2	-2	1.24	1.38	0.73	1.35	3.318	6.299	1.181	1.736	1.11	1.44	1.12	0.85	3.2	2.32	4.45	0	16.5
Ba2ZnSi2O7	-32	0.17	0.08	0.17	0.58	8	4	4	2	2	2	4	-2	1.42	0.74	0.4	1.35	6.299	1.521	2.002	1.736	1.44	1.25	1.18	0.85	2.32	4.1	4.7	0	7.5
Ca5Ta2HfO12	-32	0.25	0.1	0.05	0.6	8	8	6	2	2	5	4	-2	1.12	1.04	0.71	1.35	4.633	1.801	2.241	1.736	1.25	0.95	0.97	0.85	2.55	4.05	3.6	0	17
BaCu(B2O5)	-32	0.11	0.11	0.22	0.56	11	6	3	2	2	2	3	-2	1.57	0.73	0.01	1.35	6.299	1.181	0.789	1.736	1.44	1.12	1.16	0.85	2.32	4.45	5.3	0	7.3
Sr(Nd0.5Nb0.5)O3	-32	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.44	1.123	10.42	1.35	5.632	3.418	1.807	1.736	1.39	1.17	0.95	0.85	2.4	3.19	4.05	0	29.7
BaAl2Ge2O8	-32	0.08	0.15	0.15	0.62	9	4	4	2	2	3	4	-2	1.61	0.39	0.73	1.35	6.299	1.66	2.264	1.736	1.44	1.25	1.22	0.85	2.32	4.2	4.55	0	7.5
Ca(In0.5Nb0.5)O3	-33	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.4	3.75	10.42	1.35	4.633	2.617	1.807	1.736	1.25	1.49	0.95	0.85	2.55	3.9	4.05	0	29.6
Ca(Nd0.5Nb0.5)O3	-33	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.4	1.123	10.42	1.35	4.633	3.418	1.807	1.736	1.25	1.17	0.95	0.85	2.55	3.19	4.05	0	20
Sr(La0.5Nb0.5)O3	-33	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.44	1.172	10.42	1.35	5.632	3.741	1.807	1.736	1.39	1.34	0.95	0.85	2.4	3.17	4.05	0	27.5
Sr2MgSi2O7	-34	0.17	0.08	0.17	0.58	8	4	4	2	2	2	4	-2	1.26	0.57	0.4	1.35	5.632	2.324	2.002	1.736	1.39	1.09	1.18	0.85	2.4	3.45	4.7	0	8.3
LiMgVO4	-34	0.14	0.14	0.14	0.57	4	6	4	2	1	2	5	-2	0.59	0.72	0.355	1.35	2.162	2.324	1.392	1.736	1.75	1.09	0.86	0.85	2.85	3.45	4.25	0	9.5
Sr(Pr0.5Nb0.5)O3	-34	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.44	1.13	10.42	1.35	5.632	3.456	1.807	1.736	1.39	1.2	0.95	0.85	2.4	3.19	4.05	0	38
(Mg0.95Zn0.05)2TiO4	-34	0.27	0.01	0.14	0.57	6	6	6	2	2	2	4	-2	0.72	0.74	0.605	1.35	2.324	1.521	1.764	1.736	1.09	1.25	0.91	0.85	3.45	4.1	3.8	0	15.5
SrLaGaO4	-34	0.14	0.14	0.14	0.57	12	6	6	2	2	3	3	-2	1.44	1.172	4.84	1.35	5.632	3.741	1.947	1.736	1.39	1.34	1.38	0.85	2.4	3.17	4.1	0	20.3
La5CrTi3O15	-34	0.21	0.04	0.12	0.62	12	6	6	2	3	3	4	-2	1.36	0.615	0.605	1.35	3.741	1.2	1.764	1.736	1.34	0.84	0.91	0.85	3.17	4.65	3.8	0	33.2
BaGa2Ge2O8	-34	0.08	0.15	0.15	0.62	9	4	4	2	2	3	4	-2	1.61	0.47	0.73	1.35	6.299	1.947	2.264	1.736	1.44	1.38	1.22	0.85	2.32	4.1	4.55	0	6.9
Ca(In0.5Ta0.5)O3	-35	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.4	3.75	7.81	1.35	4.633	2.617	1.801	1.736	1.25	1.49	0.95	0.85	2.55	3.9	4.05	0	24
Ba(Zn0.5W0.5)O3	-35	0.2	0.1	0.1	0.6	12	6	6	2	2	2	6	-2	1.24	0.88	14.29	1.35	6.299	1.521	1.586	1.736	1.44	1.25	0.92	0.85	2.32	4.1	4.8	0	20
Yb2BaNiO5	-35	0.22	0.11	0.11	0.56	10	7	6	2	3	2	2	-2	1.042	1.38	0.83	1.35	4.128	6.299	1.093	1.736	1	1.44	1.13	0.85	3.22	2.32	5.2	0	9.1
MgCo3Nb2O9	-36	0.07	0.2	0.13	0.6	6	6	6	2	2	2	5	-2	0.72	0.65	0.64	1.35	2.324	1.108	1.807	1.736	1.09	0.71	0.95	0.85	3.45	5.1	4.05	0	15.2
La6ZnTi4O18	-37	0.21	0.03	0.14	0.62	12	6	6	2	2	2	4	-2	1.36	0.74	0.605	1.35	3.741	1.521	1.764	1.736	1.34	1.25	0.91	0.85	3.17	4.1	3.8	0	37.7
CoCu2Nb2O8	-37	0.08	0.15	0.15	0.62	6	6	6	2	2	2	5	-2	0.65	0.57	0.48	1.35	1.108	1.181	1.807	1.736	0.71	1.12	0.95	0.85	5.1	4.45	4.05	0	16.6
CaSnSiO5	-37	0.12	0.12	0.12	0.62	7	4	6	2	2	4	4	-2	1.06	0.55	0.4	1.35	4.633	2.705	2.002	1.736	1.25	1.41	1.18	0.85	2.55	4.15	4.7	0	9.1
Zn2(Sn0.95Ti0.05)O4	-38	0.29	0.14	0.01	0.57	6	6	6	2	2	4	4	-2	0.74	0.69	0.605	1.35	1.521	2.705	1.764	1.736	1.25	1.41	0.91	0.85	4.1	4.15	3.8	0	9.9
Yb2BaZnO5	-38	0.22	0.11	0.11	0.56	9	7	5	2	3	2	2	-2	1.042	1.38	0.68	1.35	4.128	6.299	1.521	1.736	1	1.44	1.25	0.85	3.22	2.32	4.1	0	9.1
Ca(Yb0.5Ta0.5)O3	-38	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.4	1.008	7.81	1.35	4.633	4.128	1.801	1.736	1.25	1	0.95	0.85	2.55	3.22	4.05	0	21.2
La5Zn0.5Ti3.5O15	-39	0.21	0.02	0.15	0.62	12	6	6	2	2	2	4	-2	1.36	0.74	0.605	1.35	3.741	1.521	1.764	1.736	1.34	1.25	0.91	0.85	3.17	4.1	3.8	0	36.5
La6MgTi4O18	-39	0.21	0.03	0.14	0.62	12	6	6	2	2	2	4	-2	1.36	0.72	0.605	1.35	3.741	2.324	1.764	1.736	1.34	1.09	0.91	0.85	3.17	3.45	3.8	0	36.3
Sr(Zn0.33Nb0.67)O3	-39	0.2	0.07	0.13	0.6	12	6	6	2	2	2	5	-2	1.44	0.88	10.42	1.35	5.632	1.521	1.807	1.736	1.39	1.25	0.95	0.85	2.4	4.1	4.05	0	40
Mg0.95Co0.05Ti2O5	-39	0.12	0.01	0.25	0.62	12	6	6	2	2	2	4	-2	1.1	2.99	6.61	1.35	2.324	1.108	1.764	1.736	1.09	0.71	0.91	0.85	3.45	5.1	3.8	0	18.6
LaTiTaO6	-39	0.11	0.11	0.11	0.67	12	6	6	2	3	4	5	-2	1.5	0.745	7.81	1.35	3.741	1.764	1.801	1.736	1.34	0.91	0.95	0.85	3.17	3.8	4.05	0	24.4
La5AlTi3O15	-39	0.21	0.04	0.12	0.62	12	6	6	2	3	3	4	-2	1.36	0.535	0.605	1.35	3.741	1.66	1.764	1.736	1.34	1.25	0.91	0.85	3.17	4.2	3.8	0	28.1
Ca(Pr0.5Nb0.5)O3	-39	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.4	1.13	10.42	1.35	4.633	3.456	1.807	1.736	1.25	1.2	0.95	0.85	2.55	3.19	4.05	0	24.2
Ba0.95(Zn0.5W0.5)O2.95	-40	0.19	0.1	0.1	0.6	12	6	6	2	2	2	6	-2	1.24	0.88	14.29	1.35	6.299	1.521	1.586	1.736	1.44	1.25	0.92	0.85	2.32	4.1	4.8	0	21
Ho2BaCuO5	-41	0.22	0.11	0.11	0.56	9	7	5	2	3	2	2	-2	1.072	1.38	0.73	1.35	3.112	6.299	1.181	1.736	1.04	1.44	1.12	0.85	3.22	2.32	4.45	0	15.3
Mg0.95Zn0.05Ti2O5	-41	0.12	0.01	0.25	0.62	12	6	6	2	2	2	4	-2	1.1	0.88	6.61	1.35	2.324	1.521	1.764	1.736	1.09	1.25	0.91	0.85	3.45	4.1	3.8	0	18.5
Ca(La0.5Ta0.5)O3	-41	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.4	1.172	7.81	1.35	4.633	3.741	1.801	1.736	1.25	1.34	0.95	0.85	2.55	3.17	4.05	0	19.5
YbTiTaO6	-41	0.11	0.11	0.11	0.67	12	6	6	2	3	4	5	-2	1.042	0.745	7.81	1.35	4.128	1.764	1.801	1.736	1	0.91	0.95	0.85	3.22	3.8	4.05	0	19.3
Nd(Zn0.5Ti0.5)O3	-42	0.2	0.1	0.1	0.6	12	6	6	2	3	2	4	-2	1.29	0.88	6.61	1.35	3.418	1.521	1.764	1.736	1.17	1.25	0.91	0.85	3.19	4.1	3.8	0	31.6
DyTiNbO6	-42	0.11	0.11	0.11	0.67	6	6	6	2	3	4	5	-2	1.07	0.605	0.64	1.35	3.152	1.764	1.807	1.736	1.07	0.91	0.95	0.85	3.21	3.8	4.05	0	22
Ca(Zn0.33Nb0.67)O3	-43	0.2	0.07	0.13	0.6	12	6	6	2	2	2	5	-2	1.4	0.88	10.42	1.35	4.633	1.521	1.807	1.736	1.25	1.25	0.95	0.85	2.55	4.1	4.05	0	35
(Nd0.99Mn0.015)1.02Nb0.988O4	-43	0.17	0	0.16	0.66	12	6	6	2	3	3	5	-2	1.29	0.72	10.42	1.35	3.418	1.22	1.807	1.736	1.17	0.79	0.95	0.85	3.19	4.45	4.05	0	19.1
Ca0.99Mg0.01SiO3	-43	0.2	0	0.2	0.6	12	6	6	2	2	2	4	-2	1.34	0.72	0.4	1.35	4.633	2.324	2.002	1.736	1.25	1.09	1.18	0.85	2.55	3.45	4.7	0	6.5
Ca(Sn0.1Si0.9)O3	-43	0.2	0.02	0.18	0.6	12	6	6	2	2	4	4	-2	1.34	0.69	0.4	1.35	4.633	2.705	2.002	1.736	1.25	1.41	1.18	0.85	2.55	4.15	4.7	0	7.9
Sr(Eu0.5Ta0.5)O3	-43	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.44	3.17	7.81	1.35	5.632	4.813	1.801	1.736	1.39	1.1	0.95	0.85	2.4	3.2	4.05	0	30
Na0.5Ce0.5MoO4	-44	0.08	0.08	0.17	0.67	8	8	4	2	1	3	6	-2	1.18	1.143	0.59	1.35	3.926	3.478	1.558	1.736	1.07	1.23	0.9	0.85	2.7	3.18	4.65	0	11.2
Li2Mg2(WO4)3	-44	0.11	0.11	0.16	0.63	6	6	6	2	1	2	6	-2	0.76	0.72	0.6	1.35	2.162	2.324	1.586	1.736	1.75	1.09	0.92	0.85	2.85	3.45	4.8	0	7.7
Ca0.8Sr0.2SnO3	-44	0.16	0.04	0.2	0.6	12	12	6	2	2	2	4	-2	1.34	1.18	0.69	1.35	4.633	5.632	2.705	1.736	1.25	1.39	1.41	0.85	2.55	2.4	4.15	0	8.5
Ba4.8Sm8.8Ti18O54	-44	0.06	0.1	0.21	0.63	12	12	6	2	2	3	4	-2	1.35	0.958	0.605	1.35	6.299	3.318	1.764	1.736	1.44	1.11	0.91	0.85	2.32	3.2	3.8	0	83.3
Sr(Sm0.5Nb0.5)O3	-45	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.44	1.098	10.42	1.35	5.632	3.318	1.807	1.736	1.39	1.11	0.95	0.85	2.4	3.2	4.05	0	31.8
YTiNbO6	-45	0.11	0.11	0.11	0.67	12	6	6	2	3	4	5	-2	1.075	0.745	10.42	1.35	3.318	1.764	1.807	1.736	1.22	0.91	0.95	0.85	3.2	3.8	4.05	0	19
TbTiNbO6	-45	0.11	0.11	0.11	0.67	6	6	6	2	3	4	5	-2	0.923	0.605	0.64	1.35	3.213	1.764	1.807	1.736	1.08	0.91	0.95	0.85	3.21	3.8	4.05	0	21
Sr(Zn0.5W0.5)O3	-45	0.2	0.1	0.1	0.6	12	6	6	2	2	2	6	-2	1.44	0.88	14.29	1.35	5.632	1.521	1.586	1.736	1.39	1.25	0.92	0.85	2.4	4.1	4.8	0	27.5
Mg2(Ti0.95Sn0.05)O4	-45	0.29	0.14	0.01	0.57	6	6	6	2	2	4	4	-2	0.72	0.605	0.69	1.35	2.324	1.764	2.705	1.736	1.09	0.91	1.41	0.85	3.45	3.8	4.15	0	15.6
Y(Mg0.5Ti0.5)O3	-46	0.2	0.1	0.1	0.6	12	6	6	2	3	2	4	-2	1.075	0.86	6.61	1.35	3.318	2.324	1.764	1.736	1.22	1.09	0.91	0.85	3.2	3.45	3.8	0	22
La6Mg0.913Ti4.04O18	-46	0.21	0.03	0.14	0.62	12	6	6	2	3	2	4	-2	1.36	0.72	0.605	1.35	3.741	2.324	1.764	1.736	1.34	1.09	0.91	0.85	3.17	3.45	3.8	0	32
Nd(Co0.5Ti0.5)O3	-46	0.2	0.1	0.1	0.6	12	6	6	2	3	2	4	-2	1.29	2.99	6.61	1.35	3.418	1.108	1.764	1.736	1.17	0.71	0.91	0.85	3.19	5.1	3.8	0	27
MgCu2Nb2O8	-46	0.08	0.15	0.15	0.62	6	6	6	2	2	2	5	-2	0.72	0.57	0.48	1.35	2.324	1.181	1.807	1.736	1.09	1.12	0.95	0.85	3.45	4.45	4.05	0	15.9
Ba2BiV3O11	-46	0.12	0.06	0.18	0.65	11.5	5	8	2	2	3	5	-2	1.61	0.96	0.54	1.35	6.299	3.538	1.392	1.736	1.44	1.38	0.86	0.85	2.32	4.15	4.25	0	14.2
Mg2Al4Si5O18	-47	0.07	0.14	0.17	0.62	6	4	4	2	2	3	4	-2	0.72	0.39	0.4	1.35	2.324	1.66	2.002	1.736	1.09	1.25	1.18	0.85	3.45	4.2	4.7	0	6.2
(Mg0.9Co0.1)2TiO4	-47	0.26	0.03	0.14	0.57	6	6	6	2	2	2	4	-2	0.72	0.65	0.605	1.35	2.324	1.108	1.764	1.736	1.09	0.71	0.91	0.85	3.45	5.1	3.8	0	15.6
Mg0.95Ni0.05Ti2O5	-48	0.12	0.01	0.25	0.62	12	6	6	2	2	2	4	-2	1.1	0.83	6.61	1.35	2.324	1.093	1.764	1.736	1.09	1.13	0.91	0.85	3.45	5.2	3.8	0	18.8
LiInSiO4	-48	0.14	0.14	0.14	0.57	6	6	4	2	1	3	4	-2	0.76	0.8	0.4	1.35	2.162	2.617	2.002	1.736	1.75	1.49	1.18	0.85	2.85	3.9	4.7	0	8.2
Ca(Mg0.33Nb0.67)O3	-48	0.2	0.07	0.13	0.6	12	6	6	2	2	2	5	-2	1.4	0.86	10.42	1.35	4.633	2.324	1.807	1.736	1.25	1.09	0.95	0.85	2.55	3.45	4.05	0	28
Na0.5Nd0.5MoO4	-49	0.08	0.08	0.17	0.67	8	8	4	2	1	3	6	-2	1.18	1.109	0.59	1.35	3.926	3.418	1.558	1.736	1.07	1.17	0.9	0.85	2.7	3.19	4.65	0	10.5
Nd(Mg0.5Ti0.5)O3	-49	0.2	0.1	0.1	0.6	12	6	6	2	3	2	4	-2	1.29	0.86	6.61	1.35	3.418	2.324	1.764	1.736	1.17	1.09	0.91	0.85	3.19	3.45	3.8	0	23
Mg3Dy4Al44O75	-49	0.02	0.03	0.35	0.6	6	6	6	2	2	3	3	-2	0.72	1.052	0.535	1.35	2.324	3.152	1.66	1.736	1.09	1.07	1.25	0.85	3.45	3.21	4.2	0	10.3
Ca5Mg4(VO4)6	-50	0.13	0.1	0.15	0.62	10	4	4	2	2	2	5	-2	1.37	0.72	0.355	1.35	4.633	2.324	1.392	1.736	1.25	1.09	0.86	0.85	2.55	3.45	4.25	0	9.2
Sr2SmSbO6	-50	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.44	1.098	8.33	1.35	5.632	3.318	2.997	1.736	1.39	1.11	1.32	0.85	2.4	3.2	4.4	0	16
Sr(Ni0.5W0.5)O3	-50	0.2	0.1	0.1	0.6	12	6	6	2	2	2	6	-2	1.44	0.83	14.29	1.35	5.632	1.093	1.586	1.736	1.39	1.13	0.92	0.85	2.4	5.2	4.8	0	18.3
Sr(Mg0.33Ta0.67)O3	-50	0.2	0.07	0.13	0.6	12	6	6	2	2	2	5	-2	1.44	0.86	7.81	1.35	5.632	2.324	1.801	1.736	1.39	1.09	0.95	0.85	2.4	3.45	4.05	0	22
Ca(La0.5Nb0.5)O3	-51	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.4	1.172	10.42	1.35	4.633	3.741	1.807	1.736	1.25	1.34	0.95	0.85	2.55	3.17	4.05	0	20.6
Mg2Co2Nb2O9	-51	0.13	0.13	0.13	0.6	6	6	6	2	2	2	5	-2	0.72	0.65	0.64	1.35	2.324	1.108	1.807	1.736	1.09	0.71	0.95	0.85	3.45	5.1	4.05	0	13.2
Zn2(Sn0.99Zr0.01)O4	-51	0.29	0.14	0	0.57	6	6	6	2	2	4	4	-2	0.74	0.69	0.72	1.35	1.521	2.705	2.328	1.736	1.25	1.41	0.98	0.85	4.1	4.15	3.45	0	9.6
SrLa2Al2O7	-52	0.08	0.17	0.17	0.58	12	9	6	2	2	3	3	-2	1.44	1.216	0.535	1.35	5.632	3.741	1.66	1.736	1.39	1.34	1.25	0.85	2.4	3.17	4.2	0	18.2
Ca2Al2SiO7	-52	0.17	0.17	0.08	0.58	8	4	4	2	2	3	4	-2	1.12	0.39	0.4	1.35	4.633	1.66	2.002	1.736	1.25	1.25	1.18	0.85	2.55	4.2	4.7	0	8.4
Sr(Eu0.5Nb0.5)O3	-52	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.44	3.17	10.42	1.35	5.632	4.813	1.807	1.736	1.39	1.1	0.95	0.85	2.4	3.2	4.05	0	35
Ca(Sn0.4Si0.6)O3	-52	0.2	0.08	0.12	0.6	12	6	6	2	2	4	4	-2	1.34	0.69	0.4	1.35	4.633	2.705	2.002	1.736	1.25	1.41	1.18	0.85	2.55	4.15	4.7	0	9.3
(Mg0.96Mn0.04)2TiO4	-52	0.27	0.01	0.14	0.57	6	6	6	2	2	2	4	-2	0.72	0.67	0.605	1.35	2.324	1.22	1.764	1.736	1.09	0.79	0.91	0.85	3.45	4.45	3.8	0	15.6
(Mg0.95Co0.05)2TiO4	-52	0.27	0.01	0.14	0.57	6	6	6	2	2	2	4	-2	0.72	0.65	0.605	1.35	2.324	1.108	1.764	1.736	1.09	0.71	0.91	0.85	3.45	5.1	3.8	0	15.7
ZnZrNb2O8	-53	0.08	0.08	0.17	0.67	12	6	6	2	2	4	5	-2	0.9	0.86	10.42	1.35	1.521	2.328	1.807	1.736	1.25	0.98	0.95	0.85	4.1	3.45	4.05	0	29.5
Mg0.75Ni0.25Al2O4	-53	0.11	0.04	0.29	0.57	6	6	6	2	2	2	3	-2	0.72	0.69	0.535	1.35	2.324	1.093	1.66	1.736	1.09	1.13	1.25	0.85	3.45	5.2	4.2	0	8.3
