formula	tf	Ax	Bx	Cx	Dx	Acn	Bcn	Ccn	Dcn	Av	Bv	Cv	Dv	Air	Bir	Cir	Dir	Aav	Bav	Cav	Dav	Aced	Bced	Cced	Dced	Acp	Bcp	Ccp	Dcp eps
Ba(Y0.5Nb0.5)O3	15	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.24	1.04	10.42	1.35	6.299	3.318	1.807	1.736	1.44	1.22	0.95	0.85	2.32	3.2	4.05	0	37
Ba(Nd0.5Nb0.5)O3	13	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.24	1.123	10.42	1.35	6.299	3.418	1.807	1.736	1.44	1.17	0.95	0.85	2.32	3.19	4.05	0	41.9
Li2.081Ti0.676Nb0.243O3	13	0.35	0.11	0.04	0.5	8	6	6	2	1	4	5	-2	1.06	0.745	10.42	1.35	2.162	1.764	1.807	1.736	1.75	0.91	0.95	0.85	2.85	3.8	4.05	0	20
Dy(W0.5Ti1.5)O6	10	0.11	0.06	0.17	0.67	12	6	6	2	3	6	4	-2	1.052	0.74	6.61	1.35	3.152	1.586	1.764	1.736	1.07	0.92	0.91	0.85	3.21	4.8	3.8	0	35.6
Nd(W0.5Ti1.5)O6	9	0.11	0.06	0.17	0.67	12	6	6	2	3	6	4	-2	1.29	0.74	6.61	1.35	3.418	1.586	1.764	1.736	1.17	0.92	0.91	0.85	3.19	4.8	3.8	0	42
Li2CaSiO4	8	0.25	0.12	0.12	0.5	4	8	4	2	1	2	4	-2	0.59	1.12	0.4	1.35	2.162	4.633	2.002	1.736	1.75	1.25	1.18	0.85	2.85	2.55	4.7	0	4.4
(Bi0.9Nd0.1)2Mo2O9	8	0.14	0.02	0.15	0.69	6	6	4	2	3	3	6	-2	1.06	0.983	0.59	1.35	3.538	3.418	1.558	1.736	1.38	1.17	0.9	0.85	4.15	3.19	4.65	0	33.9
DyTiTaO6	7	0.11	0.11	0.11	0.67	12	6	6	2	3	4	3	-2	1.052	0.745	7.81	1.35	3.152	1.764	1.801	1.736	1.07	0.91	0.95	0.85	3.21	3.8	4.05	0	34.6
Li2CoTi3O8	7	0.14	0.07	0.21	0.57	8	6	6	2	1	2	4	-2	1.06	2.99	6.61	1.35	2.162	1.108	1.764	1.736	1.75	0.71	0.91	0.85	2.85	5.1	3.8	0	28.9
Ba(Eu0.5Nb0.5)O3	7	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.24	3.17	10.42	1.35	6.299	4.813	1.807	1.736	1.44	1.1	0.95	0.85	2.32	3.2	4.05	0	40
Mg0.93Ca0.07TiO3	6	0.19	0.01	0.2	0.6	12	6	6	2	2	2	4	-2	1.1	2	6.61	1.35	2.324	4.633	1.764	1.736	1.09	1.25	0.91	0.85	3.45	2.55	3.8	0	22.2
SrTb4Si3O13	6	0.05	0.19	0.14	0.62	9	8	4	2	2	3	4	-2	0.131	1.04	0.26	1.35	5.632	3.213	2.002	1.736	1.39	1.08	1.18	0.85	2.4	3.21	4.7	0	14.3
Ba(Gd0.5Nb0.5)O3	5	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.24	5.63	10.42	1.35	6.299	3.31	1.807	1.736	1.44	1.09	0.95	0.85	2.32	3.2	4.05	0	40
Ba(Sm0.5Ta0.5)O3	5	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.24	1.098	7.81	1.35	6.299	3.318	1.801	1.736	1.44	1.11	0.95	0.85	2.32	3.2	4.05	0	34.3
Nd2BaZnO5	4.6	0.22	0.11	0.11	0.56	12	6	6	2	3	2	2	-2	1.29	1.48	2.7	1.35	3.418	6.299	1.521	1.736	1.17	1.44	1.25	0.85	3.19	2.32	4.1	0	22.6
SrSm2Al2O7	4	0.08	0.17	0.17	0.58	12	6	6	2	2	3	3	-2	1.44	1.098	5.61	1.35	5.632	3.318	1.66	1.736	1.39	1.11	1.25	0.85	2.4	3.2	4.2	0	21.6
Mg4La2Ti5O17	4	0.14	0.07	0.18	0.61	12	6	6	2	2	3	4	-2	1.1	1.172	6.61	1.35	2.324	3.741	1.764	1.736	1.09	1.34	0.91	0.85	3.45	3.17	3.8	0	31
Ba(Zn0.33Nb0.67)O3	4	0.2	0.07	0.13	0.6	12	6	6	2	2	2	5	-2	1.24	0.88	10.42	1.35	6.299	1.521	1.807	1.736	1.44	1.25	0.95	0.85	2.32	4.1	4.05	0	41
BaTi3.98Sn0.02O9	3.6	0.07	0.28	0	0.64	12	6	6	2	2	4	4	-2	1.24	0.745	5.8	1.35	6.299	1.764	2.705	1.736	1.44	0.91	1.41	0.85	2.32	3.8	4.15	0	34.2
Ba(Mg0.33Ta0.67)O3	3	0.2	0.07	0.13	0.6	12	6	6	2	2	2	5	-2	1.24	0.86	7.81	1.35	6.299	2.324	1.801	1.736	1.44	1.09	0.95	0.85	2.32	3.45	4.05	0	25.1
CaZrB2O6	3	0.1	0.1	0.2	0.6	8	6	4	2	2	4	3	-2	1.12	0.72	0.11	1.35	4.633	2.328	0.789	1.736	1.25	0.98	1.16	0.85	2.55	3.45	5.3	0	8.1
